12 days of Christmas|Straight No Chaser |
2001: A Space Odyssey|City of Prague Philharmonic |Friday: Movie Night at Johnson's Christmas Corner
20th Century Fox Fanfare |City of Prague Philharmonic |Friday: Movie Night at Johnson's Christmas Corner
A Christmas Festival |Arthur Fiedler & the Boston Pops|Monday: Traditional Christmas Carols
All I want for Christmas|Mariah Carey|
Amazing Grace| (2008 Party Version) Yule Dancing Christmas 2007|
America the Beautiful | The Blenders|
Angels We Have Heard on High|Mannheim Steamroller |Christmas in the Aire (The White Album)
Aussie jingle bells|Typically Aussie|
Believe in Holiday Magic |Kellie Coffey|Saturday and Sunday: Christmas Mash
Carol of the Bells|David Foster |
Carol of the Bells |Monique Danielle|
Carol of the Bells |St. Olaf Choir|
Carol of the Bells (metal version) |Jimi Cringle |
Chariots of Fire|City of Prague Philharmonic |Friday: Movie Night at Johnson's Christmas Corner
Chipmunk Christmas song ||
Chipmunks Roasting On An Open Fire|Decorations Bob Rivers |
Christmas (Baby Please Come Home) |Darlene Love|
Christmas (Baby Please Come Home) |Smash Mouth|Wednesday: Rock N Roll Christmas
Christmas Canon Rock |TSO|Tuesday: Modern Classics with TSO & Mannheim Steamroller
Christmas Don't Be Late |Alvin & the Chipmunks|Monday: Traditional Christmas Carols
Christmas Eve/Sarajevo 12/24 |TSO|Tuesday: Modern Classics with TSO & Mannheim Steamroller
Christmas in Dixie |Alabama|Thursday: Country Christmas
Christmas List|Simple Plan|Wednesday: Rock N Roll Christmas
Christmas Must Be Something More|Taylor Swift|Thursday: Country Christmas
Christmas Shoes| Newsong|Saturday and Sunday: Christmas Mash
Christmas TV Classics Medley|BRegal (Johnson Edit) |Saturday and Sunday: Christmas Mash
Christmas With A Capital C|Go Fish |Christmas With A Capital C (Snow: The Deluxe Edition)
Close Encounters of the Third Kind|City of Prague Philharmonic |Friday: Movie Night at Johnson's Christmas Corner
Dancing Queen| Abba|
Deck the Halls | Sean Smith|It's a guitar instrumental (very short 36 seconds)
Dirty Birds | Pompaloose|
Do I Play Hockey?| Don Cherry|
Do they know it's Christmas|Band Aid|
Do you hear what I hear|Spiraling|
